example,sid,tag,old_score,is_leaf,alt_bindings,alt_refactorings,alt_dataflows,pOutputNumber,pAlternative,pWave,pAllowDataFlow,pCritical,pPercentOfBindedInputs,pPossibleDeadlock,pNumberOfBindedFunctions,pRestless,label,pRefactoringType,pNotTransferableInputs,pRestrictedTime,pWaitTime
fibonacci.lua,-0-2-1-0,BindDecisionView,4548,False,0,0,1,1.0,1.0,0.0,0.0,True,1.0,False,0.0,1.0,1.0159028079886685,,,,
fibonacci.lua,-0-2-1-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,1.0159028079886685,,1.0,False,1.0
fibonacci.lua,-0-2-1-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,1.0159028079886685,BreakLoopView,,,
fibonacci.lua,-0-2-1-0-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,1.0159028079886685,,1.0,False,2.0
fibonacci.lua,-0-2-1-0-0-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,1.0159028079886685,,0.0,False,3.0
fibonacci.lua,-0-2-1-0-0-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,,,0.0,False,5.0
fibonacci.lua,-0-2-1-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,1.0159028079886685,BreakLoopView,,,
fibonacci.lua,-0-2-1-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,1.0159028079886685,,0.0,False,1.0
fibonacci.lua,-0-2-1-0-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,1.0159028079886685,,1.0,False,2.0
fibonacci.lua,-0-2-1-0-1-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,1.0159028079886685,,0.0,False,3.0
fibonacci.lua,-0-2-1-0-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,,,0.0,False,5.0
fibonacci.lua,-0-2-1-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,1.0159028079886685,,0.0,False,1.0
fibonacci.lua,-0-2-1-0-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,1.0159028079886685,,1.0,False,2.0
fibonacci.lua,-0-2-1-0-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,1.0159028079886685,,0.0,False,5.0
fibonacci.lua,-0-2-1-1,DataflowDecisionView,1994,False,1,0,0,,,,,,,,,,0.9883052485532543,,1.0,False,1.0
fibonacci.lua,-0-2-1-1-0,BindDecisionView,4552,False,0,0,0,1.0,1.0,0.0,0.0,True,1.0,False,0.0,0.0,1.0159028079886685,,,,
fibonacci.lua,-0-2-1-1-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,1.0159028079886685,BreakLoopView,,,
fibonacci.lua,-0-2-1-1-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,1.0159028079886685,,1.0,False,2.0
fibonacci.lua,-0-2-1-1-0-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,1.0159028079886685,,0.0,False,3.0
fibonacci.lua,-0-2-1-1-0-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,,,0.0,False,5.0
fibonacci.lua,-1,BindDecisionView,4054,False,4,0,0,2.0,2.0,,0.0,True,0.0,False,0.0,0.0,0.656986351143623,,,,
fibonacci.lua,-1-0,BindDecisionView,4602,False,1,1,0,1.0,1.0,,0.0,True,1.0,False,0.0,0.0,0.8409071516505213,,,,
fibonacci.lua,-1-0-0,BindDecisionView,3622,False,0,2,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,0.9171585389708612,,,,
