example,score,synthesis_method,runs,success_rate,timeout_rate,time_mean,time_std,time_min,time_max,synthesis_steps_mean,synthesis_steps_std,synthesis_steps_min,synthesis_steps_max,mean_depth_mean,mean_depth_std,mean_depth_min,mean_depth_max,min_duration_mean,min_duration_std,min_duration_min,min_duration_max,leafs_mean,leafs_std,leafs_min,leafs_max,leaf_success_rate_mean,leaf_success_rate_std,leaf_success_rate_min,leaf_success_rate_max,nodes_total_mean,nodes_total_std,nodes_total_min,nodes_total_max,nodes_not_processed_mean,nodes_not_processed_std,nodes_not_processed_min,nodes_not_processed_max
matrix-mult-2x2.lua,model_v2,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-2x2.lua,model_v2,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-3x3.lua,default,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-3x3.lua,default,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-3x3.lua,default,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-3x3.lua,model_v1,sota,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-3x3.lua,model_v1,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-3x3.lua,model_v1,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-3x3.lua,model_v2,sota,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-3x3.lua,model_v2,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-3x3.lua,model_v2,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-4x4.lua,default,sota,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-4x4.lua,default,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-4x4.lua,default,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-4x4.lua,model_v1,sota,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-4x4.lua,model_v1,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-4x4.lua,model_v1,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-4x4.lua,model_v2,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-4x4.lua,model_v2,top-down-1.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix-mult-4x4.lua,model_v2,top-down-1.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physics1.lua,default,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physics1.lua,default,top-down-1.2,3,1,0,0.584662439650856,0.00824179849790082,0.5751520309713669,0.5897198650054634,85,0.0,85,85,54.0,0.0,54.0,54.0,40,0.0,40,40,4,0.0,4,4,0.25,0.0,0.25,0.25,952,0.0,952,952,866,0.0,866,866
physics1.lua,default,top-down-1.4,3,1,0,0.5815532593405806,0.0003349520847991663,0.5813390199909918,0.5819392499979585,78,0.0,78,78,54.0,0.0,54.0,54.0,39,0.0,39,39,6,0.0,6,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,829,0.0,829,829,750,0.0,750,750
physics1.lua,model_v1,sota,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physics1.lua,model_v1,top-down-1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physics1.lua,model_v1,top-down-1.4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physics1.lua,model_v2,sota,3,1,0,52.35671124964332,0.16651812552790146,52.183870354958344,52.51608925295295,1458,0.0,1458,1458,65.8,0.0,65.8,65.8,47,0.0,47,47,51,0.0,51,51,0.09803921568627451,0.0,0.09803921568627451,0.09803921568627451,16730,0.0,16730,16730,15271,0.0,15271,15271
physics1.lua,model_v2,top-down-1.2,3,1,0,3.7415287786279805,0.7855469936167946,3.2352720109629445,4.6464716629707254,90,0.0,90,90,65.0,0.0,65.0,65.0,52,0.0,52,52,13,0.0,13,13,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,651,0.0,651,651,560,0.0,560,560
physics1.lua,model_v2,top-down-1.4,3,1,0,3.3478069486639774,0.42439547020245877,3.0272986729978584,3.8291021260083653,75,0.0,75,75,68.0,0.0,68.0,68.0,54,0.0,54,54,5,0.0,5,5,0.2,0.0,0.2,0.2,635,0.0,635,635,559,0.0,559,559
